,Rank,Major,Early Career Pay,Mid-Career Pay,% High Meaning
609,608,Secondary Education,50700,80800,58
610,611,Multidisciplinary Studies,49600,80700,52
611,612,Archaeology,51100,80500,45
612,612,Communication Arts,47800,80500,40
613,614,Arts & Science,51700,80400,-
614,614,Illustration,51300,80400,38
615,614,Sustainability,54900,80400,58
616,617,Hotel & Restaurant Tourism,48900,80300,-
617,617,Radiography,62400,80300,83
618,619,Media Communication,53000,80200,44
619,619,Respiratory Therapy,61800,80200,83
620,621,Applied Behavior Analysis,43400,80000,88
621,622,Technology Teacher Education,54000,79800,-
622,623,Professional Studies,47500,79300,67
623,624,Communications Technology,52500,79200,32
624,625,Biological Anthropology,52200,79000,46
625,625,Art Therapy,46100,79000,84
626,625,Commercial Photography,48900,79000,28
627,628,Liberal Studies,51000,78900,56
628,628,Radio & Television,49000,78900,40
629,630,Nutrition,52800,78600,65
630,631,Plant Sciences,55500,78400,57
631,632,Graphic Design,51300,78300,38
632,633,Legal Studies,53300,78200,52
633,633,Nutrition & Dietetics,57200,78200,71
634,635,Turfgrass Management,53300,78100,38
635,636,Dietetics,57500,78000,74
636,636,Interdisciplinary Studies (IS),50700,78000,57
637,638,Fashion Design & Marketing,55900,77900,50
638,639,Applied Sociology,47500,77800,57
639,639,Hospital Management,62300,77800,-
640,639,Religion,50500,77800,56
641,642,Medical Technology,61000,77700,82
642,643,Art Administration,45600,77600,53
643,643,Criminal Justice,48600,77600,56
644,643,Fine Arts,49000,77600,45
645,646,Criminal Law,62800,77400,-
646,646,Forensic Science,51300,77400,63
647,648,Philosophy & Religious Studies,55600,77300,61
648,648,Public Health (PH),52300,77300,70
649,650,Speech-Language Pathology,49600,77100,68
650,651,Landscape Management,58700,77000,-
651,651,Women's Studies,51200,77000,60
652,653,Forensic Psychology,48300,76900,57
653,653,Modern Language Spanish,51100,76900,63
654,655,Educational Studies (ED),45300,76800,66
655,655,Physical Geography,55000,76800,58
656,657,Culture Studies,50700,76700,53
657,657,Pastoral Studies,58900,76700,-
658,659,Dramatic Art,47100,76600,-
659,660,Music Industry,52200,76400,38
660,661,Performing Arts,51300,76300,56
661,662,African American & African Studies,54300,76100,61
662,663,Animal Science,46800,76000,66
663,663,Ornamental Horticulture,51600,76000,67
664,665,Hospitality & Tourism,51400,75900,40
665,666,Education,50600,75800,65
666,667,Foods & Nutrition,52800,75300,68
667,668,Fashion & Retail Management,55800,75000,30
668,669,Music Composition,49400,74900,52
669,669,Small Business Management,52900,74900,36
670,671,Clinical Nutrition,58700,74800,-
671,672,Painting,47400,74700,44
672,673,Speech Pathology & Audiology,51400,74600,75
673,674,Psychology & Sociology,48600,74400,53
674,674,Physical Education Teaching,48000,74400,68
675,676,Clinical Psychology,47500,74300,65
676,677,Health Studies,49500,74200,64
677,677,Instrumental Music Teacher Education,48000,74200,69
678,679,Technical Theatre,46400,74100,41
679,680,Art,49500,73900,46
680,680,Social & Criminal Justice,49900,73900,55
681,682,Consumer Affairs,57200,73800,44
682,682,Family & Consumer Science,49400,73800,61
683,684,Network Technology,63500,73700,60
684,685,Photography,49600,73600,39
